review_rank,growth_rank,cluster_id,grow_cell_count,estimated_population_2025,max_opportunity_score,mean_opportunity_score,centroid_latitude,centroid_longitude,market_anchor_name,market_anchor_address,best_h3_cell,h3_cell,recommendation_explanation,population_data_scope,competitor_data_scope,catchment_data_scope,recommendation,cluster_priority_score,priority_tier,decision_limitations,candidate_latitude,candidate_longitude,estimated_population_2025_cell,coverage_gap_pct,nearest_branch_name,nearest_branch_distance_km,observed_competitors_within_3km,observed_direct_competitors_within_3km,opportunity_score,confidence_score,confidence_level,cell_recommendation,cell_market_anchor_name,cell_market_anchor_address,candidate_label,sanity_flags,sanity_status,sanity_penalty,sanity_adjusted_score,candidate_type,required_next_checks
40,40,GROW-115,7,13169.66,79.27,74.85,25.546891,55.691535,,,8743ac108ffffff,8743ac108ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.94,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.552228907430543,55.6814746056896,3905.46,100.0,Ras Al Khaimah,32.591,0,0,79.27,70,MEDIUM,GROW,,,"Search area near 25.5522, 55.6815",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.94,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
41,41,GROW-118,12,21079.17,79.38,74.53,25.298362,55.755205,,,8743ac090ffffff,8743ac090ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.92,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.280335516252507,55.79127722770662,4022.0,100.0,Al Jada,31.599,0,0,79.38,70,MEDIUM,GROW,,,"Search area near 25.2803, 55.7913",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.92,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
42,42,GROW-147,11,17727.84,79.79,73.5,24.769525,55.786656,,,8743ae8e8ffffff,8743ae8e8ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.9,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.73516217308462,55.78342836905152,4358.6,100.0,Al Ain,57.904,0,0,79.79,70,MEDIUM,GROW,,,"Search area near 24.7352, 55.7834",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.9,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
43,43,GROW-063,5,10825.3,79.63,73.76,23.65564,53.634728,,,8743a664dffffff,8743a664dffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.87,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.646332009248,53.62786709922469,4199.01,100.0,Al Dhafra Branch,9.018,0,0,79.63,70,MEDIUM,GROW,,,"Search area near 23.6463, 53.6279",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.87,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
44,44,GROW-001,7,15948.39,78.7,75.87,23.415657,55.418994,,,874384a6effffff,874384a6effffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.85,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.42614199259198,55.42730972066776,3453.57,100.0,Al Ain,92.109,0,0,78.7,70,MEDIUM,GROW,,,"Search area near 23.4261, 55.4273",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.85,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
45,45,GROW-048,3,6322.42,78.57,75.87,24.81789,55.237103,,,8743a174dffffff,8743a174dffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.76,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.82257282509932,55.23532663633775,3357.06,100.0,Jumeirah Park,25.078,0,0,78.57,70,MEDIUM,GROW,,,"Search area near 24.8226, 55.2353",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.76,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
46,46,GROW-138,1,3635.5,77.68,77.68,25.154136,56.247141,,,8743ac6c4ffffff,8743ac6c4ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.68,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.154136400336885,56.24714072532048,3635.5,95.64,Al Taif Mall,8.728,0,0,77.68,70,MEDIUM,GROW,,,"Search area near 25.1541, 56.2471",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.68,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
47,47,GROW-103,4,9768.03,77.76,77.12,24.167183,52.582448,,,87534da5bffffff,87534da5bffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.57,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.168803053100778,52.60028035066419,2817.92,100.0,Al Dhafra Branch,128.208,0,0,77.76,70,MEDIUM,GROW,,,"Search area near 24.1688, 52.6003",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.57,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
48,48,GROW-037,3,6569.37,78.03,76.45,24.456963,54.840293,,,8743a14a8ffffff,8743a14a8ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.56,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.458745912188864,54.83403827898786,2983.1,100.0,Al Falah,9.711,0,0,78.03,70,MEDIUM,GROW,,,"Search area near 24.4587, 54.8340",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.56,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
49,49,GROW-058,40,58735.95,78.78,73.98,23.145769,53.8051,,,8743a2c86ffffff,8743a2c86ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.34,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.12929100043636,53.7932733529373,3488.77,100.0,Al Dhafra Branch,56.045,0,0,78.78,70,MEDIUM,GROW,,,"Search area near 23.1293, 53.7933",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.34,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
50,11,GROW-069,205,711083.29,83.35,76.58,24.178191,55.716445,,,8743ae50cffffff,8743ae50cffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,81.32,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.203082394691886,55.75384631971406,11822.24,100.0,Al Ain,9.874,0,0,83.35,70,MEDIUM,GROW,,,"Search area near 24.2031, 55.7538",BROAD_CLUSTER_REQUIRES_SUBMARKET_SPLIT;NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,12,69.32,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
51,51,GROW-132,3,5665.17,78.22,74.89,25.210831,55.735334,,,8743ac55bffffff,8743ac55bffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.22,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.20501950912992,55.74245902340836,3103.8,100.0,Al Jada,29.297,0,0,78.22,70,MEDIUM,GROW,,,"Search area near 25.2050, 55.7425",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,69.22,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
52,52,GROW-071,1,2292.3,76.93,76.93,24.112893,55.607304,,,8743a3241ffffff,8743a3241ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.93,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.112893276455715,55.60730391691453,2292.3,100.0,Al Ain,13.735,0,0,76.93,70,MEDIUM,GROW,,,"Search area near 24.1129, 55.6073",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.93,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
53,54,GROW-014,1,2194.75,76.69,76.69,24.156686,54.426651,,,8743a0646ffffff,8743a0646ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.69,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.15668558892565,54.42665066322629,2194.75,100.0,Mohammed Bin Zayed City,26.05,0,0,76.69,70,MEDIUM,GROW,,,"Search area near 24.1567, 54.4267",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.69,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
54,55,GROW-154,3,5393.53,77.23,75.41,24.942412,56.15889,,,8743aea45ffffff,8743aea45ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.68,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.94292097801448,56.1588045384968,2464.1,100.0,Al Taif Mall,25.892,0,0,77.23,70,MEDIUM,GROW,,,"Search area near 24.9429, 56.1588",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.68,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
55,56,GROW-104,1,2192.7,76.68,76.68,24.172032,52.639428,,,8743a692dffffff,8743a692dffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.68,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.17203165901581,52.63942846588921,2192.7,100.0,Al Dhafra Branch,124.879,0,0,76.68,70,MEDIUM,GROW,,,"Search area near 24.1720, 52.6394",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.68,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
56,58,GROW-098,2,3890.88,76.89,76.0,23.547919,53.302596,,,8743a6711ffffff,8743a6711ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.62,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.552625763222657,53.30985211849542,2271.26,100.0,Al Dhafra Branch,42.04,0,0,76.89,70,MEDIUM,GROW,,,"Search area near 23.5526, 53.3099",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.62,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
57,59,GROW-140,1,2152.3,76.61,76.61,25.116096,55.964318,,,8743ac786ffffff,8743ac786ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.61,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.11609617623245,55.96431847782944,2152.3,100.0,Al Taif Mall,36.352,0,0,76.61,70,MEDIUM,GROW,,,"Search area near 25.1161, 55.9643",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.61,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
58,60,GROW-121,3,5067.76,77.37,74.77,25.55709,56.20549,,,8743ac202ffffff,8743ac202ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.59,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.55443211009964,56.20063189234887,2553.77,100.0,Ras Al Khaimah,35.67,0,0,77.37,70,MEDIUM,GROW,,,"Search area near 25.5544, 56.2006",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.59,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
59,61,GROW-079,7,9709.08,78.06,72.93,23.631344,55.552954,,,8743a36eaffffff,8743a36eaffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.52,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.63458841745437,55.5507093850538,2994.9,100.0,Al Ain,66.768,0,0,78.06,70,MEDIUM,GROW,,,"Search area near 23.6346, 55.5507",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.52,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
60,62,GROW-123,3,5613.02,76.82,75.69,25.472331,56.186181,,,8743ac2a1ffffff,8743ac2a1ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.48,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.481382590983262,56.192141405082864,2248.93,100.0,Ras Al Khaimah,40.591,0,0,76.82,70,MEDIUM,GROW,,,"Search area near 25.4814, 56.1921",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.48,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
61,63,GROW-021,2,3430.4,77.17,74.56,24.864646,54.906307,,,8743a101effffff,8743a101effffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.39,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.861275866690825,54.900948315001855,2425.08,100.0,Jumeirah Park,33.244,0,0,77.17,70,MEDIUM,GROW,,,"Search area near 24.8613, 54.9009",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.39,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
62,64,GROW-141,1,2029.63,76.33,76.33,25.084264,55.949156,,,8743ac794ffffff,8743ac794ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.33,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.084264043333462,55.94915575742,2029.63,100.0,Al Taif Mall,38.091,0,0,76.33,70,MEDIUM,GROW,,,"Search area near 25.0843, 55.9492",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.33,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
63,65,GROW-166,1,1976.05,76.17,76.17,24.134432,51.621471,,,87534c269ffffff,87534c269ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,76.17,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.13443176735036,51.62147052747726,1976.05,100.0,Al Dhafra Branch,220.092,0,0,76.17,70,MEDIUM,GROW,,,"Search area near 24.1344, 51.6215",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,68.17,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
64,21,GROW-029,100,245795.37,82.07,75.58,24.623123,54.775254,,,8743a1546ffffff,8743a1546ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,80.12,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.67723462602756,54.752069139086274,7956.46,100.0,Shahama,18.831,0,0,82.07,70,MEDIUM,GROW,,,"Search area near 24.6772, 54.7521",BROAD_CLUSTER_REQUIRES_SUBMARKET_SPLIT;NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,12,68.12,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
65,66,GROW-169,3,5358.97,76.12,75.64,23.969773,52.241654,,,87534d3a2ffffff,87534d3a2ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,75.98,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",23.97808009552845,52.25774148268324,1956.47,100.0,Al Dhafra Branch,153.192,0,0,76.12,70,MEDIUM,GROW,,,"Search area near 23.9781, 52.2577",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,67.98,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment."
